Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SAWS Peripheral Schematics.PrjPcb|ReportField=ProjectFullPath~C:\Users\Matthew Rosales\AppData\Local\Temp\Releases\Snapshot\1\SAWS Peripheral Schematics.PrjPcb|ReportField=Title~BOM_PartType For Project [SAWS Peripheral Schematics.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~12|ReportField=ReportTime~1:39:08 PM|ReportField=ReportDate~10/28/2017|ReportField=ReportDateTime~10/28/2017 1:39:08 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SAWS Peripheral Schematics.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Matthew Rosales\AppData\Local\Temp\Releases\Snapshot\1\SAWS Peripheral Schematics.PrjPcb
Adafruit Industries 254|Roll Pin Punch 5/32 x 4-1/2 Inch Steel - GR0191303||PCB-14uusre4tcuerloricup-1|254|1
Adafruit Industries 1697|Micro Jack; Solder Mount Jack; Length .233; Pin Size .022-.032; Brass/Gold||PCB-jbwx2r95ohr5pnaey095-1|1697|1
Adafruit Industries 2652|Adafruit BME280 I2C or SPI Temperature Humidity Pressure Sensor||PCB-8cpanwn2r2nbal49d52i-1|2652|1
Adafruit TB6612|dual dc motor driver board||PCB-i53bh64vexzah4n4868h-1|2448|2
Arduino Mega|Sainsmart, TFT LCD Mega Shield, V1.0, Arduino Mega 2560||TFT_Shield_MEGA|ARDUINO MEGA2560 REV3|1
JST S2B-PH-K-S(LF)(SN)|JST S2B-PH-K-S (LF)(SN) Multi-pin Connector, Angled Series PH Number of pins: 2 Nominal current: 2 A||PCBComponent_1 - duplicate|S2B-PH-K-S(LF)(SN)|2
TE Connectivity 282836-2|Wire to Board 2 Position 5 mm Pitch 30-16 AWG Euro Style Terminal Block||PCB-0kdx5sneyudsmu18l6zv-1|282836-2|1
JST (JAPAN SOLDERLESS TERMINALS) S6B-PH-SM4-TB(LF)(SN)|CONN HEADER PH SIDE 6POS 2MM SMD|J?|PCB-643062-1|S6B-PH-SM4-TB(LF)(SN)|1
NXP Semiconductors PCF8523T/1,118|IC RTC/CALENDAR 8SOIC|U?|PCB-1019860-1|PCF8523T/1,118|1
VEML6070|VEML6030 Series 5.5 V 2.35 x 1.8 x 1 mm UV A Light Sensor with I2C Interface|U?|PCB-p4pozrsuowobialt3zsg-1|CMP-deee14aa07af0129-2|1
